date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:52:06	235/235	---M-Z	200	added ('OK')	text/plain	date:Tue,%2017%20Mar%202020%2008:44:57%20GMT	https://www.fibaro.com/robots.txt		(from )
23:52:08	89059/89059	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Aug%202020%2016:52:08%20GMT	https://www.fibaro.com/de/products/co-sensor/	D:/Thuc%20tap%20sinh/git_web_fibarovn_storage/Format%20web%20Fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/web/index.html	(from )
23:52:10	98493/98493	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Jul%202017%2011:35:44%20GMT	https://www.fibaro.com/de/wp-content/uploads/sites/9/2017/07/Facebook-CO-Sensor.jpg	D:/Thuc%20tap%20sinh/git_web_fibarovn_storage/Format%20web%20Fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/web/facebook-co-sensor.jpg	(from https://www.fibaro.com/de/products/co-sensor/)
23:52:11	85004/85004	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Jul%202017%2011:35:44%20GMT	https://www.fibaro.com/de/wp-content/uploads/sites/9/2017/07/Twitter-CO-Sensor.jpg	D:/Thuc%20tap%20sinh/git_web_fibarovn_storage/Format%20web%20Fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/web/twitter-co-sensor.jpg	(from https://www.fibaro.com/de/products/co-sensor/)
23:52:12	2256/2256	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Aug%202020%2016:52:13%20GMT	https://www.fibaro.com/favicons/mstile-144x144.png	D:/Thuc%20tap%20sinh/git_web_fibarovn_storage/Format%20web%20Fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/web/mstile-144x144.png	(from https://www.fibaro.com/de/products/co-sensor/)
23:52:12	2453/2453	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/mstile-70x70.png	D:/Thuc%20tap%20sinh/git_web_fibarovn_storage/Format%20web%20Fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/web/mstile-70x70.png	(from https://www.fibaro.com/de/products/co-sensor/)
23:52:13	3320/3320	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/mstile-150x150.png	D:/Thuc%20tap%20sinh/git_web_fibarovn_storage/Format%20web%20Fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/web/mstile-150x150.png	(from https://www.fibaro.com/de/products/co-sensor/)
23:52:13	1646/1646	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/favicon-16x16.png	D:/Thuc%20tap%20sinh/git_web_fibarovn_storage/Format%20web%20Fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/web/favicon-16x16.png	(from https://www.fibaro.com/de/products/co-sensor/)
23:52:13	297/297	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Jul%202019%2011:38:47%20GMT	https://www.fibaro.com/favicons/favicon-32x32.png	D:/Thuc%20tap%20sinh/git_web_fibarovn_storage/Format%20web%20Fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/web/favicon-32x32.png	(from https://www.fibaro.com/de/products/co-sensor/)
23:52:13	2511/2511	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Jan%202019%2008:11:38%20GMT	https://www.fibaro.com/favicons/favicon-96x96.png	D:/Thuc%20tap%20sinh/git_web_fibarovn_storage/Format%20web%20Fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/cam-bien-khi-CO-nha-thong-minh-fibaro/web/favicon-96x96.png	(from https://www.fibaro.com/de/products/co-sensor/)
